File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\Account\RegisterExternalLogin.aspx,36,29,0,0,7,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\App_Start\AuthConfig.cs,31,14,8,0,5,0,12,53,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\App_Start\RouteConfig.cs,17,15,9,0,2,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\Controllers\ReportsController.cs,44,28,15,0,5,0,11,73,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\Java\globalNavFunctionality.js,1,1,39,0,0,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\obj\Release\Package\PackageTmp\About.aspx,34,29,0,0,5,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\obj\Release\Package\PackageTmp\CashDrawerSetUp.aspx,13,12,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\obj\Release\Package\PackageTmp\Clients.aspx,13,12,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\obj\Release\Package\PackageTmp\CloseOutRegister.aspx,13,12,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\obj\Release\Package\PackageTmp\CorpClientInvoiceList.aspx,14,13,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\obj\Release\Package\PackageTmp\CustomerEmailer.aspx,14,13,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\obj\Release\Package\PackageTmp\DailyTipReport.aspx,21,16,0,0,5,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\obj\Release\Package\PackageTmp\Default.aspx,11,8,0,0,3,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\obj\Release\Package\PackageTmp\Details.aspx,14,12,0,0,2,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\obj\Release\Package\PackageTmp\Employees.aspx,14,12,0,0,2,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\obj\Release\Package\PackageTmp\EndOfDay.aspx,13,12,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\obj\Release\Package\PackageTmp\EODReport.aspx,21,18,0,0,3,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\obj\Release\Package\PackageTmp\EODScreen.aspx,13,12,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\obj\Release\Package\PackageTmp\GiftCards.aspx,13,12,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\obj\Release\Package\PackageTmp\IPOD_Login.aspx,36,33,1,0,3,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\obj\Release\Package\PackageTmp\Login.aspx,39,32,3,0,7,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\obj\Release\Package\PackageTmp\MonthlyCustomerDetailReport.aspx,18,16,0,0,2,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\obj\Release\Package\PackageTmp\MonthlyCustomerSummary.aspx,18,16,0,0,2,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\obj\Release\Package\PackageTmp\MonthlySalesRepReport.aspx,18,16,0,0,2,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\obj\Release\Package\PackageTmp\MonthlyTip.aspx,18,16,0,0,2,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\obj\Release\Package\PackageTmp\Sales.aspx,14,13,0,0,1,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\obj\Release\Package\PackageTmp\SessionExpired.aspx,35,29,2,0,6,0,0,0,0,0
D:\Desktop\Mammoth\Mammoth Car Wash\Mammoth Car Wash\Source\MPOS Source\Backup\MPOS\obj\Release\Package\PackageTmp\StatementList.aspx,14,13,0,0,1,0,0,0,0,0
